City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,75.09,scattered clouds,-23.1203,-134.9692,People ThankYou
2,Avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
6,Jamestown,US,83.79,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
8,Persianovskiy,RU,84.72,few clouds,47.5137,40.1075,Otel' Dinastiya
9,Laguna,US,86.94,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
11,Lufilufi,WS,74.98,moderate rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
16,Kamina,CD,67.39,few clouds,-8.7386,24.9906,Guest House Florvia
21,Sao Filipe,CV,76.3,scattered clouds,14.8961,-24.4956,Hotel Xaguate
22,Voh,NC,68.23,broken clouds,-20.9667,164.7,Le gîte du Koniambo
23,Hilo,US,78.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
24,Cape Town,ZA,63.37,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
27,Ribeira Grande,PT,68.4,broken clouds,38.5167,-28.7,Quinta da Meia Eira
28,Gravina In Puglia,IT,89.15,few clouds,40.8197,16.4228,Hotel Alta Murgia
29,Klyuchi,RU,72.14,light rain,52.2667,79.1667,Vesolaya Mayovka
32,Thompson,CA,64.56,few clouds,55.7435,-97.8558,Burntwood Hotel
36,Victoria,HK,86.32,scattered clouds,22.2855,114.1577,Mini Central
37,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
41,Saint-Pierre,RE,66.9,clear sky,-21.3393,55.4781,Alize Plage
44,Atuona,PF,77.74,scattered clouds,-9.8,-139.0333,Villa Enata
45,Saldanha,ZA,60.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
47,Zhangye,CN,72.79,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
48,Boguchany,RU,62.53,broken clouds,58.3814,97.4531,Uyut
49,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Foyer ADM
51,Pieszyce,PL,83.91,broken clouds,50.7129,16.5823,Hotel Dębowy Biowellness & SPA
53,Atasu,KZ,77.27,clear sky,48.6814,71.6433,Dostyk
