City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2022-06-22 23:31:32,-42.8794,147.3294,56.23,79,99,3.0
1,Viedma,AR,2022-06-22 23:34:36,-40.8135,-62.9967,35.98,60,11,3.13
2,Punta Arenas,CL,2022-06-22 23:32:08,-53.15,-70.9167,37.51,70,75,11.5
3,Saint-Philippe,RE,2022-06-22 23:34:37,-21.3585,55.7679,62.19,83,15,14.03
4,Vaitape,PF,2022-06-22 23:34:37,-16.5167,-151.75,80.35,63,9,9.13
5,Nikolskoye,RU,2022-06-22 23:34:38,59.7035,30.7861,49.91,73,46,2.17
6,Novyy Yegorlyk,RU,2022-06-22 23:34:38,46.3927,41.8716,59.02,66,28,8.66
7,Ushuaia,AR,2022-06-22 23:29:51,-54.8,-68.3,37.06,87,75,27.63
8,Rikitea,PF,2022-06-22 23:34:39,-23.1203,-134.9692,75.33,77,50,16.87
9,Grindavik,IS,2022-06-22 23:34:39,63.8424,-22.4338,46.35,93,75,12.66
10,Mataura,NZ,2022-06-22 23:34:40,-46.1927,168.8643,43.14,53,99,2.37
11,Tiksi,RU,2022-06-22 23:34:40,71.6872,128.8694,43.23,59,36,21.39
12,Port Elizabeth,ZA,2022-06-22 23:34:40,-33.918,25.5701,61.11,89,92,2.3
13,Muncar,ID,2022-06-22 23:34:41,-8.4333,114.3333,78.58,86,90,8.14
14,Avarua,CK,2022-06-22 23:34:41,-21.2078,-159.775,84.25,74,75,17.27
15,Thompson,CA,2022-06-22 23:34:42,55.7435,-97.8558,75.36,33,75,8.05
16,Riyadh,SA,2022-06-22 23:30:40,24.6877,46.7219,95.14,11,14,4.72
17,Bluff,NZ,2022-06-22 23:34:42,-46.6,168.3333,42.91,60,94,7.11
18,Severo-Kurilsk,RU,2022-06-22 23:34:43,50.6789,156.125,47.98,87,84,17.34
19,Carnarvon,AU,2022-06-22 23:34:43,-24.8667,113.6333,66.47,80,4,11.68
20,Hun,LY,2022-06-22 23:34:44,29.1268,15.9477,77.49,41,0,8.19
21,Luanda,AO,2022-06-22 23:33:13,-8.8368,13.2343,66.49,88,26,6.33
22,Robertsport,LR,2022-06-22 23:34:44,6.7533,-11.3686,79.2,80,92,8.14
23,Banda Aceh,ID,2022-06-22 23:34:45,5.5577,95.3222,77.92,86,100,11.92
24,Ballina,AU,2022-06-22 23:34:45,-28.8667,153.5667,62.02,83,34,4.23
25,Arraial Do Cabo,BR,2022-06-22 23:32:53,-22.9661,-42.0278,71.04,85,3,20.15
26,Busselton,AU,2022-06-22 23:34:46,-33.65,115.3333,59.74,83,96,9.1
27,Batavia,US,2022-06-22 23:34:46,41.85,-88.3126,89.4,35,0,16.11
28,Ewa Beach,US,2022-06-22 23:34:08,21.3156,-158.0072,85.95,52,40,19.57
29,Airai,TL,2022-06-22 23:33:50,-8.9266,125.4092,63.63,73,87,5.3
30,The Valley,AI,2022-06-22 23:34:47,18.217,-63.0578,82.54,74,20,8.05
31,Castro,BR,2022-06-22 23:34:48,-24.7911,-50.0119,59.68,89,0,5.12
32,Vila Velha,BR,2022-06-22 23:34:15,-20.3297,-40.2925,73.35,91,0,6.91
33,Roma,US,2022-06-22 23:34:48,43.2128,-75.4557,71.87,77,75,16.11
34,La Libertad,EC,2022-06-22 23:34:49,-2.2333,-80.9,71.26,83,40,12.66
35,Angoche,MZ,2022-06-22 23:34:49,-16.2325,39.9086,70.36,79,9,8.72
36,Katsuura,JP,2022-06-22 23:34:50,35.1333,140.3,73.11,89,99,8.57
37,Hithadhoo,MV,2022-06-22 23:34:51,-0.6,73.0833,83.64,70,75,7.67
38,Campoverde,PE,2022-06-22 23:34:51,-8.4753,-74.8058,85.69,68,90,1.28
39,Kandava,LV,2022-06-22 23:34:51,57.0409,22.7747,50.63,88,42,3.65
